,zips,median_incomes,average_incomes,per_capita_incomes,number_of_restaurants
0,90001,43360,54325,13727,63
1,90002,37285,49724,13284,20
2,90003,40598,51181,13441,68
3,90004,49675,84325,32090,177
4,90005,38491,54841,24267,154
5,90006,37072,50157,17791,170
6,90007,27406,52447,17808,196
7,90008,43364,69070,33723,54
8,90010,63112,82447,44814,122
9,90011,40940,52535,12931,83
10,90012,47027,74907,30023,305
11,90013,22316,65566,41048,187
12,90014,40641,67825,46007,204
13,90015,43890,80234,37408,254
14,90016,48715,66037,26323,94
15,90017,35605,63540,27359,201
16,90018,45984,67108,22530,59
17,90019,56389,85483,34267,174
18,90020,49068,76983,33220,172
19,90021,21635,57715,35141,86
20,90022,46051,59342,16949,132
21,90023,42972,54607,15094,83
22,90024,65855,135393,46935,225
23,90025,87280,117163,57137,309
24,90026,65269,91250,36374,220
25,90027,66947,103501,52257,249
26,90028,45499,67298,39513,432
27,90029,41998,60177,25449,154
28,90031,48479,70691,22620,61
29,90032,57225,74960,22803,57
30,90033,38266,50344,15210,96
31,90034,75714,98799,48244,146
32,90035,89337,136176,60302,159
33,90036,80539,119531,59781,283
34,90037,35424,49627,14445,49
35,90038,47116,63529,28564,147
36,90039,90538,124940,51159,109
37,90040,47120,63795,19476,60
38,90041,85971,115593,40317,115
39,90042,64267,87211,30575,116
40,90043,54729,77169,31101,53
41,90044,35981,51524,16278,53
42,90045,104578,140825,56291,214
43,90046,72266,114923,67271,285
44,90047,52605,66946,25360,74
45,90048,100586,148754,81692,276
46,90049,129688,226246,105369,93
47,90056,92656,125019,57289,12
48,90057,37700,48449,18216,82
49,90058,21964,37195,10433,33
50,90059,44838,56541,14807,20
51,90061,42500,57231,16848,28
52,90062,49443,67726,20879,22
53,90063,48559,63963,17698,48
54,90064,102117,163066,71214,191
55,90065,67479,98376,34334,76
56,90066,83899,117608,52713,143
57,90067,118393,217532,129379,61
58,90068,88535,157859,86299,44
59,90069,93380,145432,92082,270
60,90071,61875,76692,72511,92
61,90077,209531,330006,126291,20
62,90094,155417,210426,93577,25
63,90230,85524,117862,49264,144
